p,sigma,d,Prediction_RMSE,Factorisation_RMSE,Time
128,0.1,2,0.834140532171,0.66950238531,8016.26657293085
128,1.0,2,0.83100002321,0.661987981952,2362.449280144181
128,5.0,2,0.831313344262,0.662038138812,2017.6315124211833
128,10.0,2,0.831027947577,0.6620040957,2231.879048254108
128,20.0,2,0.831056712246,0.66200642595,1963.3598129630554
64,0.1,3,0.832069284719,0.660168192063,1984.725866455119
64,1.0,3,0.829049624501,0.649172287296,978.4857964981347
64,5.0,3,0.828716181207,0.649229086318,960.5271083111875
64,10.0,3,0.828428427789,0.649004486505,991.3915372670162
64,20.0,3,0.828488928274,0.648920086087,924.8908682158217
128,0.1,3,0.827966114587,0.650859225155,6708.757173291175
128,1.0,3,0.824902158827,0.640845360899,2340.8043928500265
128,5.0,3,0.825167988722,0.640886491721,2624.7558914690744
128,10.0,3,0.824779923877,0.640700268018,2516.489443817176
128,20.0,3,0.82473797243,0.640695137202,2610.5726794328075
64,0.1,4,0.831866796652,0.657320803061,1869.4948523030616
64,1.0,4,0.827586383432,0.642832401524,1042.4918319368735
64,5.0,4,0.827673394819,0.642760110167,1151.5344708799385
64,10.0,4,0.828093577495,0.643338280373,1108.8373898039572
64,20.0,4,0.828192012779,0.643073126605,1155.6504686439876
128,0.1,4,0.825135525809,0.642292571037,5990.336732557043
128,1.0,4,0.822922471374,0.631439569526,2555.238983804127
128,5.0,4,0.823108844283,0.631715514763,2760.436980085913
128,10.0,4,0.82367649013,0.631979049502,2609.348687228048
128,20.0,4,0.823386684596,0.631740898733,2804.0222948119044
64,0.1,5,0.830075464136,0.651728103885,2236.438866714947
64,1.0,5,0.827521349596,0.638304846035,1227.9686893709004
64,5.0,5,0.827695234724,0.638458902951,1195.4950657710433
64,10.0,5,0.829167162052,0.639834722612,1265.7278722010087
64,20.0,5,0.827833574709,0.639100472358,1416.0075798579492
128,0.1,5,0.824163747315,0.637899490886,6366.527625347953
128,1.0,5,0.822296530924,0.625631353427,3757.221495419042
128,5.0,5,0.822573117905,0.625862386835,3877.99491855409
128,10.0,5,0.823497583562,0.626501656548,4038.228985195048
128,20.0,5,0.822832728392,0.626308627391,3898.013369966997
